ostan,fam,pop,m,f,lat,lon
مرکزي,455866,1429475,725751,703724,34.5302705,49.7864561
گيلان,851382,2530696,1267597,1263099,37.50540445,49.35985333694739
مازندران,1084798,3283582,1653998,1629584,36.3159159,51.8968597
آذربايجان شرقي,1223028,3909652,1989400,1920252,37.9211202,46.6821517
آذربايجان غربي,935956,3265219,1658319,1606900,37.7416484,45.0207638
کرمانشاه,576861,1952434,988015,964419,34.3789744,46.7010122
خوزستان,1280645,4710509,2388674,2321835,31.5535141,49.0077168
فارس,1443027,4851274,2461251,2390023,29.299051,53.218456
كرمان,932721,3164718,1617688,1547030,29.571858,57.301047
خراسان رضوئ,1938703,6434501,3245185,3189316,35.4795009,59.0237291
اصفهان,1607482,5120850,2599477,2521373,33.196733,52.504026
سيستان و بلوچستان,704888,2775014,1401931,1373083,28.1292481,60.8236848
كردستان,471310,1603011,812776,790235,35.672803,47.0124376
همدان,538803,1738234,880318,857916,34.973321,48.6555779
چهارمحال و بختيارئ,270434,947763,482356,465407,32.0163307,50.685709
لرستان,509025,1760649,892889,867760,33.5372643,48.2435197
ايلام,159310,580158,295199,284959,33.1545696,46.7576343
كهگيلويه و بويراحمد,186320,713052,361386,351666,30.7246,50.8456
بوشهر,321826,1163400,620722,542678,28.8936645,51.3204877
زنجان,321983,1057461,534849,522612,36.515854,48.4777616
سمنان,215571,702360,356656,345704,35.3843145,54.6209302
يزد,340657,1138533,586013,552520,31.489462,54.46578718200166
هرمزگان,493660,1776415,906814,869601,27.7198095,56.335807
تهران,4288563,13267637,6673672,6593965,35.483722,51.41233215415261
اردبيل,377423,1270420,650255,620165,38.4583983,47.9313001
قم,383532,1292283,658540,633743,34.7191915,51.0122844
قزوين,397165,1273761,650499,623262,36.0156291,49.8398161
گلستان,550249,1868819,938327,930492,37.1984436,55.070672
خراسان شمالي,254747,863092,433633,429459,37.5378855,56.9526137
خراسان جنوبي,223984,768898,389917,378981,33.129577,58.1065069
البرز,856116,2712400,1376335,1336065,35.9413239,50.7884216
